Agent_1,Agent_2,Mean_1,Mean_2,Mean_Diff,P_Value_Raw,Cohens_D,P_Value_Bonferroni,Significant_Bonferroni,Significant_Raw
CA_EpsilonGreedy,ECIA_NoAll,0.3701348658481611,0.7166170298586985,-0.3464821640105374,1.939892977018683e-24,-84.06956647882288,1.7653026090870015e-22,True,True
SW_UCB,Adaptive_TS,0.5513868847742448,0.5245502769681928,0.026836607806052015,1.5068072042142832e-13,9.527554511232125,1.3711945558349977e-11,True,True
SW_UCB,Naive_EpsilonGreedy,0.5513868847742448,0.42114073748335645,0.13024614729088835,1.1660360820367005e-17,28.562456904544913,1.0610928346533973e-15,True,True
SW_UCB,Naive_UCB,0.5513868847742448,0.6740627445137636,-0.12267585973951878,2.2743786271603716e-24,-44.16800356126522,2.0696845507159382e-22,True,True
SW_UCB,Naive_TS,0.5513868847742448,0.4809830176422349,0.07040386713200991,1.5108843278509714e-24,30.716749836977456,1.374904738344384e-22,True,True
SW_UCB,ECIA_Full,0.5513868847742448,0.761751828970033,-0.21036494419578822,8.94181422955746e-39,-108.5948740075637,8.137050948897288e-37,True,True
SW_UCB,ECIA_NoEmotion,0.5513868847742448,0.7588914423366441,-0.20750455756239927,2.7907314971638267e-38,-105.70196894264797,2.539565662419082e-36,True,True
SW_UCB,ECIA_NoMemory,0.5513868847742448,0.7611611150879264,-0.2097742303136816,2.849095229789813e-40,-116.26958110727858,2.5926766591087297e-38,True,True
SW_UCB,ECIA_NoDopamine,0.5513868847742448,0.7235737257600169,-0.17218684098577208,2.0763509681036496e-31,-73.94343563253771,1.8894793809743211e-29,True,True
SW_UCB,ECIA_NoDop_NoMem,0.5513868847742448,0.7248026376102857,-0.17341575283604094,1.0900106894912586e-36,-88.54688423847671,9.919097274370454e-35,True,True
SW_UCB,ECIA_NoDop_NoEmo,0.5513868847742448,0.7140793287328572,-0.16269244395861238,3.2441506840003464e-29,-65.71347446740694,2.952177122440315e-27,True,True
