Agent_1,Agent_2,Mean_1,Mean_2,Mean_Diff,P_Value_Raw,Cohens_D,P_Value_Bonferroni,Significant_Bonferroni,Significant_Raw
SW_UCB,ECIA_NoEmotion,0.6429680881774349,0.8146158726107005,-0.17164778443326556,8.117325326452905e-19,-52.278570999631626,7.386766047072144e-17,True,True
SW_UCB,ECIA_NoMemory,0.6429680881774349,0.7724730130359895,-0.12950492485855458,1.7203564214949324e-17,-39.72733400556213,1.5655243435603885e-15,True,True
SW_UCB,ECIA_NoDopamine,0.6429680881774349,0.8423763607895465,-0.19940827261211158,6.756417570368189e-26,-157.71443264673448,6.148339989035052e-24,True,True
SW_UCB,ECIA_NoDop_NoMem,0.6429680881774349,0.7680320491148218,-0.12506396093738692,3.2657971064136084e-23,-96.34506361129154,2.9718753668363837e-21,True,True
SW_UCB,ECIA_NoDop_NoEmo,0.6429680881774349,0.8360847801574706,-0.19311669198003567,3.691894577611287e-25,-143.4734900698039,3.359624065626271e-23,True,True
SW_UCB,ECIA_NoMem_NoEmo,0.6429680881774349,0.7607936315796744,-0.1178255434022395,1.8019065236601736e-17,-39.26993777389588,1.639734936530758e-15,True,True
SW_UCB,ECIA_NoAll,0.6429680881774349,0.7502789612569961,-0.10731087307956122,3.093849007814297e-25,-109.08383089415635,2.8154025971110106e-23,True,True
Adaptive_TS,Naive_EpsilonGreedy,0.5539735117596646,0.5657937720975029,-0.01182026033783834,2.7772473380438783e-06,-3.6612637186384656,0.0002527295077619929,True,True
Adaptive_TS,Naive_UCB,0.5539735117596646,0.8521813810017442,-0.29820786924207965,2.179674598981248e-46,-444.2767598952464,1.9835038850729358e-44,True,True
Adaptive_TS,Naive_TS,0.5539735117596646,0.479939679121919,0.0740338326377456,1.2107282595155645e-25,75.97455073696541,1.1017627161591636e-23,True,True
Adaptive_TS,ECIA_Full,0.5539735117596646,0.8014476867542152,-0.2474741749945506,3.1216521487590453e-22,-95.88586008495713,2.8407034553707313e-20,True,True
