Agent_1,Agent_2,Mean_1,Mean_2,Mean_Diff,P_Value_Raw,Cohens_D,P_Value_Bonferroni,Significant_Bonferroni,Significant_Raw
Adaptive_TS,ECIA_NoDop_NoMem,0.6026761429789761,0.8037007263123095,-0.2010245833333334,1.9213557053184633e-20,-67.52232973031708,1.7484336918398015e-18,True,True
Adaptive_TS,ECIA_NoDop_NoEmo,0.6026761429789761,0.8077071152011985,-0.20503097222222244,2.843713457785978e-26,-62.6213503707678,2.58777924658524e-24,True,True
Adaptive_TS,ECIA_NoMem_NoEmo,0.6026761429789761,0.815487531867865,-0.21281138888888895,1.3371305455560148e-21,-70.48444740106441,1.2167887964559735e-19,True,True
Adaptive_TS,ECIA_NoAll,0.6026761429789761,0.801022809645643,-0.1983466666666669,8.548387250995623e-21,-66.1663500509623,7.779032398406016e-19,True,True
Naive_EpsilonGreedy,Naive_UCB,0.550913781867865,0.7685022540900871,-0.2175884722222221,4.1700098248815545e-26,-58.556229906369204,3.7947089406422146e-24,True,True
Naive_EpsilonGreedy,Naive_TS,0.550913781867865,0.575376281867865,-0.024462500000000054,9.15873545523778e-11,-4.929422354485384,8.33444926426638e-09,True,True
Naive_EpsilonGreedy,ECIA_Full,0.550913781867865,0.8193860040900874,-0.26847222222222245,2.3026335095159984e-21,-79.72828730067211,2.0953964936595586e-19,True,True
Naive_EpsilonGreedy,ECIA_NoEmotion,0.550913781867865,0.819791281867865,-0.2688775,1.7758867961056593e-21,-79.71810225564363,1.6160569844561499e-19,True,True
Naive_EpsilonGreedy,ECIA_NoMemory,0.550913781867865,0.8162303096456428,-0.2653165277777778,4.201316730411295e-22,-77.81898462610437,3.823198224674278e-20,True,True
Naive_EpsilonGreedy,ECIA_NoDopamine,0.550913781867865,0.8114757263123095,-0.26056194444444447,1.728532870536218e-23,-74.67912483951181,1.5729649121879585e-21,True,True
Naive_EpsilonGreedy,ECIA_NoDop_NoMem,0.550913781867865,0.8037007263123095,-0.2527869444444445,7.56608609145114e-21,-75.32850257083,6.885138343220537e-19,True,True
